21.4,14.4,27.9,0.001,5.4,3.8,1.3,14.4,38,67.8,14.7,25.1,13.7,900
23.1,15.8,29.9,0.001,6.8,4.2,1.5,15.1,30,64.4,14.7,26.6,15.7,940
24.4,20.9,29.3,0.001,7.9,4.4,2.2,16,43,60.8,14.7,28,17.9,970
21.5,19.1,24,4.5,6.3,4.6,1.7,17.5,67,78.9,14.6,23,19.2,960
17.9,16.4,19.6,172.5,9.2,4.3,2,16.8,90,93.6,14.6,19,16.7,960
21.6,14.9,29.1,0.5,5.4,4.1,1.3,17,44,77.4,14.6,25.9,15.3,900
21.1,16,27.1,0.001,7.2,4.1,1.9,16.4,28,76.4,14.6,26.1,19,790
22.9,19.8,26.4,8.5,8.1,4.6,2.9,19.2,67,80.6,14.6,23,20,790
23.1,19.7,27.8,0.001,6.4,4,1.9,16.8,51,68.5,14.5,24.9,17.4,790
21.4,18.9,28.9,1,6.7,4.5,1.7,18.5,50,85,14.5,24.4,20,770
18.5,16.3,23,3,5.9,4.2,1.6,16.9,79,90.8,14.5,22.6,17.5,710
21.1,17.7,25.3,2,4.8,3.6,1,19,69,88.3,14.4,23.5,18.7,710
22.4,19.9,25.4,6.5,7.3,4.7,1.8,19.9,76,86,14.4,23.8,20.5,710
23.1,20.8,26.9,39.5,12.4,6.5,2.9,19.9,67,83,14.4,23.3,20.7,710
23.5,18.9,28.6,0.001,6.5,4.3,1.8,17.5,52,70.6,14.4,27.2,19.4,660
24.5,20.7,29.2,0.001,6.3,4.3,2,19.7,59,75.4,14.3,25.1,20.4,650
24.7,19.5,29.4,0.001,6.5,3.5,1.6,18.8,53,70.8,14.3,25.8,19.7,640
25.3,18.6,32.5,0.001,5.3,3.3,1.2,18.6,38,70,14.3,29.3,18.8,630
25.8,19.4,33.2,0.001,6.1,4.3,1.6,18.5,40,67.5,14.2,30.3,19.3,600
26,22.4,31.4,0.001,7.4,4.9,2.2,17.5,36,61,14.2,30.4,20.5,610
26.2,23.2,31.7,0.001,8.5,5.2,2.5,19.6,50,67.6,14.1,31,21.4,618
26,21.2,31.9,0.001,5.9,4.5,1.6,19.4,45,69.3,14.1,31.9,20,620
24.2,19.8,29.5,0.001,7.5,4.3,2,20,56,78.4,14,31.6,19.6,620
23,21.2,26.5,0.001,5.5,4,2.2,20.9,77,88.4,14,27.5,21.7,620
23.9,20.8,28.3,0.001,5.5,3.9,1.6,20.8,67,83.9,14,30,20.5,620
23.1,18.8,29,0.001,7.5,5.3,2.1,19.4,56,80.9,13.9,31.2,18.7,610
22.5,17.9,27.7,0.001,6.4,4.7,2.2,17.1,43,73.8,13.9,31.8,18.2,610
22.3,16.4,29.8,0.001,5.8,4,1.3,17.2,43,75.3,13.8,31.2,15.7,630
23.3,17.9,31.7,4.5,7.5,4.8,1.1,18.6,34,78,13.8,30.9,18.1,650
21.9,19.8,28.9,4.5,5.5,3.7,0.9,19.6,54,88.5,13.8,24.9,21.5,660
20,18.5,22.1,39,9.2,4.7,1.8,18.9,86,94.1,13.7,22.8,20.2,670
21,14.8,27.8,4,4.8,3.5,1.3,17.7,48,83.1,13.6,25,16.3,670
20.9,19.1,24,83.5,5.5,4.2,1.5,19.9,87,94.4,13.6,23,19.4,650
23.2,18.5,30.2,0.1,5.3,4.1,1.4,20.3,56,85.4,13.5,26.5,19.4,600
24.3,22.1,26.9,0.5,9.7,5.5,3.1,20,63,77.3,13.4,24,22.3,510
24.9,22.2,30.7,2.5,7.1,4.5,2.5,20,51,75.6,13.4,26.3,21.9,470
21.1,17.5,25,51.5,6.7,4.5,2,19.5,73,91.1,13.4,22.8,19.8,460
17.1,15.8,19.1,60,5.8,3.4,1.4,16.2,89,94.9,13.3,20.1,17.6,460
16.8,15.3,18.3,2.5,4.1,2.8,1,16,93,95.1,13.3,20.1,17.5,520
21.3,17.1,26.2,0.001,5.6,3.8,1.5,19.5,73,89.9,13.2,24,17.8,520
22.3,20.4,23.6,50,18.9,8.6,4.1,20.1,80,88,13.1,22.1,19.8,590
23,20.4,27.1,1,16.7,9.4,4.4,16.7,52,68.6,13.1,23.1,19.1,630
17.5,14.6,20.9,58.5,12.8,6.8,2.5,16.4,85,93.4,13.1,19.6,15.8,630
17,14.7,21.4,1.5,8.1,4.5,2.2,13.1,59,78.8,13,18.8,15.4,630
19.9,14.5,28.5,0.001,5.8,4.5,1.3,16.4,41,82.6,12.9,23.8,17.1,620
20.6,14.5,26.1,2.5,6.7,4.7,1.9,16.2,51,78,12.9,23,14.1,610
19.6,14.7,24.6,16,8.4,4.9,2.1,15,40,76.8,12.8,22.1,13.1,600
16.1,10.1,24.2,0.001,6.1,4.6,1.5,9.8,30,70.8,12.8,20.8,9.7,600
16.9,9.4,25.7,0.001,6.5,4.6,1.4,12.1,34,76,12.7,21.1,9.7,590
15.6,11.4,19.2,0.001,7,5,2,13.2,73,86.4,12.6,19.2,11.9,600
14.7,8.6,22.2,0.001,5.4,4.3,1.4,10,42,76.8,12.6,19.9,8.8,630
16.1,9.1,23.9,0.001,4.8,3.4,0.8,12.6,44,81.3,12.5,18.7,9.7,630
18,15.1,24.5,0.5,5.9,3.8,1.2,15.4,54,85.9,12.5,20,15.9,630
16.4,14.3,19,3,4.2,2.9,0.9,14.2,74,87.6,12.5,19.1,16,630
14.8,14.1,15.8,146,15.1,6.8,3.4,13.9,88,94.4,12.4,15.1,13.1,800
17.4,13.9,21.6,0.1,8.8,4.3,2.3,12.7,55,75.1,12.3,17.3,12.6,900
15.9,12,20.3,0.001,7.3,4.5,1.8,11.5,56,76.1,12.3,17,10.9,900
14.6,9.4,21.9,0.001,4.9,3.8,1.2,9.6,40,75.1,12.2,17.6,8.2,900
14,8.3,20.7,0.001,4.2,3,0.8,10.9,49,84.3,12.2,16.6,7.5,860
12.3,5.4,19.5,0.001,6.7,4.8,1.7,7.7,37,76.6,12.1,17.1,6,880
14.6,8.5,21.7,0.001,5.2,3.8,1.2,10.4,44,78.4,12.1,18.7,8.8,880
13.5,7.4,20.7,0.001,4.9,3.8,1.3,9.3,43,78.5,12,18,9.6,890
14,8.6,21,0.001,5.8,3.9,1.3,10.3,52,80,12,17.4,9.6,920
